中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
204.110.220.3,443,204.110.220.234,US,,隧道,98 ms,174 Mbps,22323 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,68 ms,233 Mbps,29900 kB/s
152.67.254.70,443,152.67.254.70,US,San Jose,中转,77 ms,37 Mbps,4832 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,94 ms,680 Mbps,87142 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,37 ms,530 Mbps,67891 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,59 ms,618 Mbps,79155 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,162 ms,278 Mbps,35635 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,71 ms,280 Mbps,35840 kB/s
152.67.44.30,443,152.67.44.30,BR,Rio de Janeiro,中转,120 ms,43 Mbps,5597 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,34 ms,1104 Mbps,141312 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,216 Mbps,27648 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,95 ms,210 Mbps,26931 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,64 ms,45 Mbps,5777 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,153 ms,91 Mbps,11673 kB/s
129.146.7.98,443,2a09:bac5:60e9:78::c:311,US,Los Angeles,隧道,64 ms,57 Mbps,7356 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,213 Mbps,27340 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,68 ms,347 Mbps,44441 kB/s
35.230.79.26,443,34.168.165.202,US,Seattle,隧道,71 ms,335 Mbps,42905 kB/s
35.197.23.75,443,34.168.165.202,US,Seattle,隧道,78 ms,307 Mbps,39321 kB/s
138.3.254.39,443,138.3.254.39,DE,228 Mbps,29184 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,165 ms,466 Mbps,59699 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,304 Mbps,38912 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,65 ms,50 Mbps,6486 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,72 ms,442 Mbps,56627 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,64 ms,326 Mbps,41779 kB/s
192.18.134.28,443,2a09:bac1:7680:1cf0::4:2e6,US,San Jose,隧道,73 ms,37 Mbps,4746 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,49 ms,7 Mbps,941 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,88 ms,226 Mbps,28979 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,9 ms,50 Mbps,6444 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,90 ms,276 Mbps,35430 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,135 ms,45 Mbps,5777 kB/s
152.70.50.92,443,2606:f240:f00:eaf1:0:a60b:8574:333e,US,Frankfurt,隧道,100 ms,78 Mbps,10035 kB/s
8.209.76.1,443,98.98.166.198,AE,Frankfurt,隧道,91 ms,160 Mbps,20582 kB/s
140.238.65.48,443,140.238.65.48,GB,London,中转,83 ms,248 Mbps,31846 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,96 ms,182 Mbps,23347 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,68 ms,320 Mbps,40960 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,93 ms,205 Mbps,26316 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,85 ms,46 Mbps,5959 kB/s
129.146.220.190,443,2603:c020:b:c87e:e94d:56e:f44a:60ac,US,Los Angeles,隧道,137 ms,121 Mbps,15564 kB/s
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,103 ms,111 Mbps,14233 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,194 ms,94 Mbps,12083 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,98 ms,155 Mbps,19865 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,340 ms,44 Mbps,5663 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,92 ms,46 Mbps,5974 kB/s
8.219.201.245,443,8.219.201.245,62 Mbps,8028 kB/s
204.216.218.114,443,204.216.218.114,IT,Milan,中转,98 ms,51 Mbps,6556 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,228 ms,67 Mbps,8604 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,225 ms,2 Mbps,298 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,96 Mbps,12390 kB/s
8.219.174.142,443,8.219.174.142,SG,Singapore,中转,226 ms,70 Mbps,9011 kB/s
103.137.63.3,443,111.247.41.10,TW,,隧道,183 ms,83 Mbps,10649 kB/s
47.242.202.230,443,47.242.202.230,HK,Hong Kong,中转,204 ms,56 Mbps,7213 kB/s
8.219.0.162,443,8.219.0.162,SG,Singapore,中转,224 ms,63 Mbps,8100 kB/s
150.230.221.148,443,150.230.221.148,JP,Tokyo,中转,214 ms,63 Mbps,8133 kB/s
132.226.7.217,443,132.226.7.217,JP,Tokyo,中转,213 ms,33 Mbps,4309 kB/s
129.150.37.203,443,129.150.37.203,SG,Singapore,中转,227 ms,54 Mbps,7000 kB/s
8.219.114.201,443,8.219.114.201,SG,Singapore,中转,231 ms,65 Mbps,8336 kB/s
8.219.199.220,443,8.219.199.220,SG,Singapore,中转,233 ms,59 Mbps,7567 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,202 ms,66 Mbps,8508 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,98 ms,190 Mbps,24371 kB/s
131.186.60.210,443,2603:c021:8002:900:8479:146e:b870:4762,JP,Tokyo,隧道,206 ms,33 Mbps,4292 kB/s
8.222.208.38,443,8.222.208.38,SG,Singapore,中转,222 ms,59 Mbps,7663 kB/s
8.219.111.147,443,8.219.111.147,SG,Singapore,中转,283 ms,65 Mbps,8342 kB/s
8.222.128.32,443,8.222.128.32,SG,Singapore,中转,227 ms,23 Mbps,2971 kB/s
8.218.87.104,443,8.218.87.104,HK,Hong Kong,中转,206 ms,2 Mbps,336 kB/s
18.191.122.211,443,3.130.94.216,US,,隧道,38 ms,541 Mbps,69324 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,49 ms,570 Mbps,73011 kB/s
8.219.106.156,443,8.219.106.156,SG,Singapore,中转,233 ms,73 Mbps,9449 kB/s
18.192.93.64,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,102 ms,221 Mbps,28364 kB/s
8.218.148.106,443,8.218.148.106,HK,,中转,281 ms,0 Mbps,5 kB/s
18.130.168.34,443,18.130.168.34,GB,,中转,85 ms,272 Mbps,34816 kB/s
44.230.218.23,443,54.212.217.183,US,,隧道,199 ms,5 Mbps,643 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,218 ms,55 Mbps,7094 kB/s
3.66.115.225,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,93 ms,197 Mbps,25292 kB/s
18.156.209.101,443,3.68.128.205,DE,,隧道,92 ms,219 Mbps,28057 kB/s
18.159.105.97,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,92 ms,214 Mbps,27443 kB/s
35.157.240.237,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,97 ms,219 Mbps,28057 kB/s
3.138.59.154,443,3.130.94.216,US,,隧道,54 ms,545 Mbps,69836 kB/s
3.127.55.133,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,93 ms,240 Mbps,30720 kB/s
54.203.85.46,443,204.110.220.79,US,,隧道,98 ms,207 Mbps,26521 kB/s
141.145.199.188,443,2603:c027:c002:9a00:b670:5cb3:e47d:8c20,FR,,隧道,86 ms,195 Mbps,24985 kB/s
144.24.243.207,443,144.24.243.207,CH,,中转,103 ms,83 Mbps,10649 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,25 ms,84 Mbps,10752 kB/s
47.254.131.6,443,2a0b:21c0:100a:1b7:0:de64:9d95:1a,DE,Frankfurt,隧道,110 ms,130 Mbps,16691 kB/s
138.2.157.236,443,2603:c020:8000:3988:fde5:6ac8:8a74:5529,DE,Frankfurt,隧道,103 ms,212 Mbps,27238 kB/s
8.209.124.42,443,2a0b:21c0:1007:cb:0:47ae:6fa3:e5fa,DE,Frankfurt,隧道,90 ms,162 Mbps,20787 kB/s
150.230.122.76,443,150.230.122.76,GB,London,中转,148 ms,242 Mbps,31027 kB/s
130.61.83.37,443,130.61.83.37,DE,Frankfurt,中转,91 ms,212 Mbps,27238 kB/s
144.24.85.158,443,144.24.85.158,KR,Seoul,中转,186 ms,42 Mbps,5423 kB/s
144.22.252.124,443,144.22.252.124,BR,S
